"ID"	"Time"	"Toxin"	"Antibody"	"ToxinDose"	"Microarray"	"Death"	"Inflammation"	"MucosaThickness"	"CongestionExudate"	"ArchitectureErosions"	"SubmucosalEdema"	"TotalPathology"	"MPOPositivesPerField"	"WBC"	"NE"	"LY"	"MO"	"EO"	"BA"	"NE.p"	"LY.p"	"MO.p"	"EO.p"	"BA.p"	"RBC"	"Hb"	"HCT"	"MCV"	"MCH"	"MCHC"	"RDW"	"PLT"	"MPV"	"Ccl11-Serum"	"Lif-Serum"	"Cxcl10-Serum"	"Cxcl1-Serum"	"Ccl2-Serum"	"Ccl3-Serum"	"Ccl4-Serum"	"Cxcl2-Serum"	"Cxcl9-Serum"	"Ccl5-Serum"	"Ccl11-cell"	"Cxcl10-cell"	"Cxcl2-cell"	"Cxcl1-cell"	"Lif-cell"	"Ccl2-cell"	"Ccl3-cell"	"Ccl4-cell"	"Cxcl9-cell"	"Ccl5-cell"	"Cxcl1-qRTPCR"	"Cxcl2-qRTPCR"	"Inflammation.Colon"	"MucosaThickness.Colon"	"CongestionExudate.Colon"	"ArchitectureErosions.Colon"	"SubmucosalEdema.Colon"	"TotalPathology.Colon"
501	6	"A"	"Isotype"	20			2	2	2	3	3	12	"NA"	5.74	3.79	1.72	0.22	0.01	0	65.96	30.01	3.82	0.13	0.08	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1501	6.98	237	7615	1122	34.69	20.46	521	32.92	21.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	31.58	120.04	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
502	6	"A"	"Isotype"	20		"Dead at 5h"	0	1	0	0.5	1	2.5	"NA"	8.3	2.04	4.42	1.61	0.19	0.04	24.52	53.3	19.39	2.33	0.45	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	9806.78	79.31	622	10039.5	9906	238	367	10172.92	118	63.89	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	4.26	1.23	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
503	6	"A"	"Isotype"	20		"Dead at 4h"	0.5	1.5	0	0.5	1.5	4	"NA"	8.64	4.3	3.33	0.65	0.32	0.04	49.81	35.53	7.51	3.66	0.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	6669	4.69	301	10039.5	2824	165	377	8897	105	90.77	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	3.97	0.37	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
504	6	"A"	"Isotype"	20			1	1.5	1	2	2.5	8	"NA"	13.66	9.67	3.18	0.36	0.29	0.17	70.8	23.36	2.62	2.11	1.21	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	6.22	15.45	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
505	6	"A"	"Anti-Cxcl"	20			1	2	1	2	3	9	"NA"	2.88	1.75	0.95	0.07	0.08	0.03	60.84	32.87	2.58	2.69	1.02	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	3827	21.08	663	2305	1493	75.58	57.11	431	133	34	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	6.79	16.54	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
506	6	"A"	"Anti-Cxcl"	20			2	2	1	2	2.5	9.5	"NA"	4.04	2.8	1.12	0.1	0.02	0.01	69.33	27.67	2.43	0.43	0.14	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	2849	6.35	394	736	753	67.56	33.29	138	79.59	30.44	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	9.69	20.17	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
507	6	"A"	"Anti-Cxcl"	20			1	1.5	1	1.5	2.5	7.5	"NA"	1.9	0.4	1.21	0.12	0.12	0.05	20.82	63.56	6.52	6.26	2.84	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	709	5.98	184	2141	741	63.74	25.01	270	83.31	50.1	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	13.52	61.28	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
508	6	"A"	"Anti-Cxcl"	20			2	2	1.5	2.5	2.5	10.5	"NA"	7	3.25	3.36	0.31	0.05	0.03	46.36	47.97	4.47	0.76	0.43	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1715	10.24	503	339	945	90.5	35.52	119	69.42	45.11	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	8.51	32.31	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
509	6	"Sham"	"Isotype"	0			0	0	0	0	2	2	"NA"	2.9	1.45	1.43	0.01	0.01	0	50.09	49.37	0.27	0.21	0.07	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1071	1.77	75.91	1517	57.6	120	21.85	28.8	36.83	20.45	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.08	0.09	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
510	6	"Sham"	"Isotype"	0			0	0	0	0	2	2	"NA"	2.22	1.05	1.15	0.02	0	0	47.38	51.82	0.73	0.07	0	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	959	0.87	90.98	519	45.82	19.59	3.56	28.8	27.26	11.49	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.27	0.36	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
511	6	"Sham"	"Anti-Cxcl"	0			0	0	0	0	1	1	"NA"	2.88	1.43	1.36	0.06	0.02	0.01	49.49	47.39	1.97	0.73	0.42	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1045	0.87	170	371	32.63	44.45	6.33	42.16	24.47	17.83	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.41	0.34	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
512	6	"Sham"	"Anti-Cxcl"	0			0	0	0	0	1	1	"NA"	1.72	0.2	1.3	0.1	0.09	0.03	11.86	75.48	5.71	5.43	1.51	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.39	1.35	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
513	16	"A"	"Isotype"	20			1	1.5	0.5	1	3	7	"NA"	9.96	3.34	3.5	1.62	1.21	0.28	33.58	35.13	16.31	12.18	2.8	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	2.08	9.07	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
514	16	"A"	"Isotype"	20		"Dead at 16h"	1.5	2	1	2	3	9.5	"NA"	5.04	3.04	1.52	0.2	0.22	0.07	60.31	30.06	3.88	4.45	1.29	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	5.01	2.73	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
515	16	"A"	"Isotype"	20			1	2	1.5	3	3	10.5	"NA"	4.74	3.49	1.06	0.17	0.01	0	73.71	22.43	3.56	0.23	0.08	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	3.14	6.94	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
516	16	"A"	"Isotype"	20		"Dead at 15h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
517	16	"A"	"Anti-Cxcl"	20		"Dead at 16h"	1	2	1	1.5	3	8.5	"NA"	3.66	1.92	1.18	0.35	0.17	0.05	52.35	32.23	9.61	4.58	1.23	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	3.53	3.96	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
518	16	"A"	"Anti-Cxcl"	20			2	2.5	2	2	2.5	11	"NA"	2.28	1.37	0.85	0.05	0	0	60.25	37.2	2.37	0.1	0.07	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1.29	0.96	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
519	16	"A"	"Anti-Cxcl"	20			1	1.5	0.5	1	2	6	"NA"	3.58	2.16	1.29	0.13	0.01	0	60.39	35.9	3.52	0.19	0	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.62	0.63	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
520	16	"A"	"Anti-Cxcl"	20			1	2	1.5	3	3	10.5	"NA"	1.06	0.44	0.56	0.05	0.01	0	41.53	52.46	5.12	0.88	0	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.56	0.32	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
521	16	"Sham"	"Isotype"	0			0	0	0	0	1	1	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.1	0.08	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
522	16	"Sham"	"Isotype"	0			0	0.5	0	0	1.5	2	"NA"	3.1	0.89	2.12	0.09	0	0	28.56	68.51	2.86	0.03	0.05	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.02	0.08	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
523	16	"Sham"	"Anti-Cxcl"	0			0	0.5	0	0	1.5	2	"NA"	4.04	0.55	3.38	0.11	0	0	13.55	83.64	2.72	0.04	0.04	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.01	0.01	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
524	16	"Sham"	"Anti-Cxcl"	0			0	0.5	0	0	1.5	2	"NA"	6	2.5	3.09	0.24	0.14	0.02	41.72	51.55	4.07	2.31	0.35	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.02	0.01	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
801	6	"Sham"	"Isotype"	0			1	1	0	0	2	4	1.1	4.72	1.85	2.39	0.19	0.25	0.04	39.15	50.74	4.04	5.26	0.81	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1294	1.62	407	613	56.1	44.97	54.33	21.22	41.07	64.98	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
802	6	"Sham"	"Isotype"	0			1	0.5	0	0	1.5	3	0.4166666667	5.8	2.68	2.44	0.24	0.36	0.08	46.25	42.06	4.07	6.19	1.44	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1669	1.8	517	700	114	55.43	53.78	26.48	36.18	67.78	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
803	6	"Sham"	"Isotype"	0			0.5	1	0	0	1	2.5	10.7	5.6	2.5	2.53	0.24	0.25	0.08	44.7	45.18	4.35	4.38	1.39	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1615	1.5	200	99.99	44.74	38.25	24.68	12.94	57.69	34.59	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
804	6	"A"	"Isotype"	20			1	2	1	2	2	8	1.2	8.66	4.38	3.77	0.29	0.18	0.05	50.56	43.58	3.3	2.03	0.53	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	4617	7.24	506	5990	1576	39.55	130	329	159	78.13	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
805	6	"A"	"Isotype"	20		"Died at 4h"	1.5	2	1	2	2.5	9	5.4	15.66	8.9	5.95	0.48	0.29	0.05	56.85	37.97	3.04	1.83	0.3	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
806	6	"A"	"Isotype"	20			1	1.5	0.5	1	2	6	0.4	5.98	2.24	3.25	0.28	0.14	0.07	37.51	54.27	4.75	2.37	1.09	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	7707	63.84	615	11089.73	4344	128	648	2694	69.72	177	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
807	6	"A"	"Isotype"	20		"Died at 5h"	2	2	2	2.5	3	11.5	10.9	9.76	5.48	3.95	0.26	0.05	0.01	56.17	40.52	2.7	0.49	0.12	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	9431.87	250	1341	11089.73	10741.44	172	562	9449	411	93.53	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
808	6	"Sham"	"Anti-Cxcl"	0			0.5	0.5	0	0	2	3	0.8	7.28	3.33	3.36	0.34	0.18	0.07	45.76	46.17	4.61	2.53	0.93	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	3032	2.44	522	351	719	33.82	74.08	26.48	44.03	85.17	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
809	6	"Sham"	"Anti-Cxcl"	0			0.5	1	0	0	2	3.5	0.3	4.34	1.52	2.44	0.15	0.17	0.06	34.97	56.23	3.56	3.86	1.39	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1929	2.13	285	170	59.23	32	23.77	22.55	43.46	38.5	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
810	6	"Sham"	"Anti-Cxcl"	0			1.5	1.5	0	0	2.5	5.5	5.5	6.86	2.52	3.57	0.38	0.3	0.1	36.73	51.99	5.47	4.41	1.39	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	1455	2.2	614	1429	426	97.32	314	23.88	65.56	39.78	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
811	6	"A"	"Anti-Cxcl"	20			2	2	1	2	3	10	5.2	6.82	2.34	3.82	0.28	0.29	0.08	34.27	56.08	4.17	4.23	1.24	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	4863	23.97	1436	894	2617	112	426	121	119	91.98	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
812	6	"A"	"Anti-Cxcl"	20			1	1.5	1	1	1.5	6	2.6	15	6.21	6.71	0.88	0.86	0.33	41.4	44.71	5.9	5.76	2.22	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	9431.87	245	1226	2031	8423	123	875	2278	203	73.34	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
813	6	"A"	"Anti-Cxcl"	20		"Died at 5h"	1	1.5	1	1.5	2	7	1.1	27.38	12.86	11.35	1.17	1.56	0.44	46.97	41.47	4.27	5.68	1.62	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	6474	155	2090	3766	9727	155	1643	3392	204	120	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
814	6	"A"	"Anti-Cxcl"	20			2	1.5	1.5	2	3	10	6	8.88	3.94	4.1	0.55	0.23	0.07	44.32	46.14	6.15	2.59	0.8	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	2374	41.36	968	1112	4939	162	561	258	105	46.95	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
901	16	"Sham"	"None"	20			1	1	0	0	2	4	"NA"	3.18	0.89	2.17	0.08	0.04	0.01	27.9	68.1	2.36	1.32	0.33	9.3	12.2	46.3	49.8	13.1	26.3	16.2	629	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.1666666667	0	0	0	0.9166666667	1.0833333333
902	16	"Sham"	"None"	20			0.5	1	0	0	2	3.5	"NA"	4.3	0.95	3.23	0.06	0.05	0.01	22.13	75.15	1.43	1.16	0.13	9.4	12.4	46.3	49.3	13.2	26.8	16.3	557	3.8	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0.125	0	0	0.75	0.875
903	16	"Sham"	"None"	20			0	0	0	0	1.5	1.5	"NA"	3.6	0.81	2.73	0.05	0.01	0	22.44	75.94	1.31	0.22	0.09	6.13	11.4	36.4	59.3	18.6	31.3	21.4	527	4.3	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.1	0.6	0.2	0.1	1	2
904	16	"B"	"None"	20			1.5	1	0.5	0.5	2	5.5	"NA"	9.32	1.83	5.44	1.29	0.6	0.17	19.64	58.32	13.84	6.4	1.79	1.31	1.6	6.1	46.3	12.2	26.2	16.8	71	4.9	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.1	1	0.1	0.4	0.7	2.3
905	16	"B"	"None"	20			1	0	0	0.5	2.5	4	"NA"	4.26	2.58	1.53	0.08	0.06	0.01	60.53	36.03	1.93	1.3	0.21	9.05	11.8	45.3	50.1	13	26	17.8	435	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.1	0.2	0	0	1	1.3
906	16	"B"	"None"	20		"Dead at 16h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
907	16	"B"	"None"	20			0.5	0	0.5	0.5	2	3.5	"NA"	9.44	4.66	3.73	0.29	0.62	0.15	49.34	39.46	3.03	6.56	1.62	9	11.6	44.5	49.4	12.9	26.1	16.3	462	4.4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0.75	0	0.0833333333	0.5833333333	1.4166666667
908	16	"A"	"None"	20		"Dead at 16h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
909	16	"A"	"None"	20		"Dead at 16h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
910	16	"A"	"None"	20		"Dead at 16h"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
911	16	"A"	"None"	20			1.5	2	1	1	2.5	8	"NA"	2.86	0.87	1.5	0.18	0.25	0.06	30.3	52.53	6.18	8.91	2.08	3.01	3.4	23	76.5	11.3	14.8	29.3	66	5.3	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.125	0.625	0	0.125	0.25	1.125
912	16	"A"	"None"	20			1	2	1.5	2	2.5	9	"NA"	4.96	2.79	1.99	0.13	0.05	0	56.22	40.07	2.62	1.02	0.06	9.69	13.2	50.7	52.3	13.6	26	15.8	295	4.1	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.1666666667	0.8333333333	0	0.3333333333	0.6666666667	2
